"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2413","TC01 - Login valid → if-else memilih branch SUCCESS","","2026-03-04","passed","2026-03-04","","Login Page - POM dengan Operator If-Else","",""
"","33","TC04 - Verifikasi property dari constructor","","2026-03-04","passed","2026-03-04","","Login Page Test - Menggunakan POM Inheritance","",""
"","1235","TC02 - Login invalid → if-else memilih branch ELSE (failed)","","2026-03-04","passed","2026-03-04","","Login Page - POM dengan Operator If-Else","",""
"","1097","DDT - Login Valid","Custom Command + DDT + POM - Login Test","2026-03-04","passed","2026-03-04","","TC05 - DDT Loop: Semua Skenario Login","",""
"","1419","TC03 - Locked user → if-else memilih branch ELSE-IF (locked)","","2026-03-04","passed","2026-03-04","","Login Page - POM dengan Operator If-Else","",""
"","10336","TC02 - DDT Purchase order menggunakan POM Inheritance","","2026-03-04","passed","2026-03-04","","Purchase Order DDT - POM Inheritance Demo","",""
"","156","TC04 - Menggunakan if-else langsung di test untuk cek element","","2026-03-04","passed","2026-03-04","","Login Page - POM dengan Operator If-Else","",""
"","1187","TC02 - Login gagal dengan kredensial invalid (demo inheritance)","","2026-03-04","passed","2026-03-04","","Login Page Test - Menggunakan POM Inheritance","",""
"","1987","TC01 - Login berhasil dengan kredensial valid (demo inheritance)","","2026-03-04","passed","2026-03-04","","Login Page Test - Menggunakan POM Inheritance","",""
"","1051","should visit the cart page (after login)","Basic Selector & Actions - Sauce Demo","2026-03-04","passed","2026-03-04","","1. Visit Page","",""
"","1560","TC01 - Berhasil login dengan kredensial valid","","2026-03-04","passed","2026-03-04","","Page Object Model - Login Page","",""
"","1104","TC03 - Locked user dengan cy.loginLocked()","","2026-03-04","passed","2026-03-04","","Custom Command + DDT + POM - Login Test","",""
"","1130","DDT - Locked User","Custom Command + DDT + POM - Login Test","2026-03-04","passed","2026-03-04","","TC05 - DDT Loop: Semua Skenario Login","",""
"","11103","DDT - User dapat melakukan purchase order dengan berbagai produk","","2026-03-04","passed","2026-03-04","","Purchase Order DDT - Sauce Demo","",""
"","1257","TC02 - Gagal login dengan kredensial tidak valid","","2026-03-04","passed","2026-03-04","","Page Object Model - Login Page","",""
"","3088","TC01 - User dapat melakukan purchase order sampai selesai","","2026-03-04","passed","2026-03-04","","Purchase Order Flow - Sauce Demo","",""
"","1109","TC03 - Login gagal karena user terkunci (demo inheritance)","","2026-03-04","passed","2026-03-04","","Login Page Test - Menggunakan POM Inheritance","",""
"","1112","DDT - Login Invalid","Custom Command + DDT + POM - Login Test","2026-03-04","passed","2026-03-04","","TC05 - DDT Loop: Semua Skenario Login","",""
"","236","TC04 - Empty field dengan cy.fillLoginForm()","","2026-03-04","passed","2026-03-04","","Custom Command + DDT + POM - Login Test","",""
"","22","TC01 - Verifikasi constructor property semua page objects","","2026-03-04","passed","2026-03-04","","Purchase Order DDT - POM Inheritance Demo","",""
"","1378","should visit the inventory page (after login)","Basic Selector & Actions - Sauce Demo","2026-03-04","passed","2026-03-04","","1. Visit Page","",""
"","1617","TC01 - Berhasil login dengan cy.login()","","2026-03-04","passed","2026-03-04","","Custom Command + DDT + POM - Login Test","",""
"","1217","TC02 - Gagal login dengan cy.loginInvalid()","","2026-03-04","passed","2026-03-04","","Custom Command + DDT + POM - Login Test","",""
